dataset,model,tier,condition,n_items,compilation_rate,proof_rate,accuracy,accuracy_given_compiled,mean_attempts,n_compiled,n_proved,n_correct,path
fracas-multilabel,deepseek-r1,T0,c3,713,0.7475455820476858,0.5371669004207573,0.38429172510518933,0.5140712945590994,2.1360448807854135,533,383,274,
fracas-multilabel,deepseek-v4-pro,T0,c1,713,0.8345021037868162,0.2776998597475456,0.4908835904628331,0.5882352941176471,1.5077138849929874,595,198,350,
fracas-multilabel,deepseek-v4-pro,T0,c2,713,0.8106591865357644,0.28892005610098176,0.5007012622720898,0.6176470588235294,1.5427769985974755,578,206,357,
fracas-multilabel,deepseek-v4-pro,T0,c3,713,0.814866760168303,0.36044880785413747,0.6171107994389902,0.7573149741824441,1.6044880785413744,581,257,440,
fracas-multilabel,gpt-4o,T0,c1,713,0.8499298737727911,0.4544179523141655,0.5694249649368864,0.66996699669967,1.5511921458625526,606,324,406,
fracas-multilabel,gpt-4o,T0,c2,713,0.788218793828892,0.44600280504908835,0.5666199158485273,0.7188612099644128,1.7068723702664796,562,318,404,
fracas-multilabel,gpt-4o,T0,c3,713,0.8190743338008415,0.4109396914446003,0.7433380084151473,0.9075342465753424,1.597475455820477,584,293,530,
fracas-multilabel,gpt-5.4,T0,c1,713,0.9298737727910238,0.6437587657784011,0.6086956521739131,0.6546003016591252,1.7741935483870968,663,459,434,
fracas-multilabel,gpt-5.4,T0,c2,713,0.8990182328190743,0.635343618513324,0.6016830294530154,0.6692667706708268,1.8485273492286114,641,453,429,
fracas-multilabel,gpt-5.4,T0,c3,713,0.9424964936886395,0.6451612903225806,0.8302945301542777,0.8809523809523809,1.476858345021038,672,460,592,
fracas-multilabel,grok-4-20,T0,c1,713,0.5315568022440392,0.2776998597475456,0.3492286115007013,0.6569920844327177,2.1598877980364657,379,198,249,
fracas-multilabel,grok-4-20,T0,c2,713,0.4950911640953717,0.25105189340813466,0.32398316970546986,0.6543909348441926,2.2552594670406734,353,179,231,
fracas-multilabel,grok-4-20,T0,c3,713,0.5708274894810659,0.3127629733520337,0.48246844319775595,0.8452088452088452,2.1093969144460027,407,223,344,
fracas-multilabel,grok-4-20-reasoning,T0,c1,713,0.9957924263674615,0.4908835904628331,0.7321178120617111,0.7352112676056338,1.0532959326788218,710,350,522,
fracas-multilabel,grok-4-20-reasoning,T0,c2,713,0.9985974754558204,0.47124824684431976,0.7110799438990182,0.7120786516853933,1.0771388499298737,712,336,507,
fracas-multilabel,grok-4-20-reasoning,T0,c3,713,0.9929873772791024,0.6311360448807855,0.9901823281907434,0.9971751412429378,1.0603085553997196,708,450,706,
fracas-multilabel,llama-3.3-70b,T0,c1,713,0.5133239831697055,0.31977559607293127,0.2903225806451613,0.5655737704918032,2.0687237026647964,366,228,207,
fracas-multilabel,llama-3.3-70b,T0,c2,713,0.48807854137447404,0.3169705469845722,0.2959326788218794,0.6063218390804598,2.120617110799439,348,226,211,
fracas-multilabel,llama-3.3-70b,T0,c3,713,0.5750350631136045,0.32398316970546986,0.4488078541374474,0.7804878048780488,1.9270687237026647,410,231,320,
fracas-multilabel,llama-4-maverick,T0,c1,713,0.3758765778401122,0.19775596072931276,0.2005610098176718,0.5335820895522388,2.485273492286115,268,141,143,
fracas-multilabel,llama-4-maverick,T0,c2,713,0.32959326788218796,0.15568022440392706,0.16830294530154277,0.5106382978723404,2.556802244039271,235,111,120,
fracas-multilabel,llama-4-maverick,T0,c3,713,0.4600280504908836,0.25666199158485276,0.3281907433380084,0.7134146341463414,2.3394109396914446,328,183,234,
fracas-multilabel,mistral-large-3,T0,c1,713,0.3884992987377279,0.25245441795231416,0.2776998597475456,0.7148014440433214,2.5301542776998596,277,180,198,
fracas-multilabel,mistral-large-3,T0,c2,713,0.4011220196353436,0.27489481065918653,0.302945301542777,0.7552447552447552,2.520336605890603,286,196,216,
fracas-multilabel,mistral-large-3,T0,c3,713,0.46984572230014027,0.3211781206171108,0.42917251051893407,0.9134328358208955,2.326788218793829,335,229,306,
fracas-translated,deepseek-r1,T0,c1,342,0.8128654970760234,0.6257309941520468,0.38596491228070173,0.4748201438848921,2.0584795321637426,278,214,132,
fracas-translated,deepseek-r1,T0,c2,342,0.7543859649122807,0.5730994152046783,0.30116959064327486,0.3992248062015504,2.2309941520467835,258,196,103,
fracas-translated,deepseek-r1,T0,c3,342,0.7865497076023392,0.6140350877192983,0.4298245614035088,0.5464684014869888,2.0321637426900585,269,210,147,
fracas-translated,deepseek-v4-pro,T0,c1,342,0.8567251461988304,0.347953216374269,0.5058479532163743,0.590443686006826,1.5116959064327486,293,119,173,
fracas-translated,deepseek-v4-pro,T0,c2,342,0.8245614035087719,0.3391812865497076,0.52046783625731,0.6312056737588653,1.5497076023391814,282,116,178,
fracas-translated,deepseek-v4-pro,T0,c3,342,0.847953216374269,0.45321637426900585,0.6578947368421053,0.7758620689655172,1.5614035087719298,290,155,225,
fracas-translated,gpt-4o,T0,c1,342,0.8742690058479532,0.5292397660818714,0.5964912280701754,0.6822742474916388,1.5,299,181,204,
fracas-translated,gpt-4o,T0,c2,342,0.8128654970760234,0.5497076023391813,0.5789473684210527,0.7122302158273381,1.6812865497076024,278,188,198,
fracas-translated,gpt-4o,T0,c3,342,0.847953216374269,0.47368421052631576,0.7543859649122807,0.8896551724137931,1.5584795321637428,290,162,258,
fracas-translated,gpt-5.4,T0,c1,342,0.9152046783625731,0.6286549707602339,0.6052631578947368,0.6613418530351438,1.7105263157894737,313,215,207,
fracas-translated,gpt-5.4,T0,c2,342,0.9327485380116959,0.6695906432748538,0.6549707602339181,0.7021943573667712,1.7748538011695907,319,229,224,
fracas-translated,gpt-5.4,T0,c3,342,0.9415204678362573,0.7046783625730995,0.8508771929824561,0.9037267080745341,1.4415204678362572,322,241,291,
fracas-translated,grok-4-20,T0,c1,342,0.5409356725146199,0.391812865497076,0.3654970760233918,0.6756756756756757,2.1871345029239766,185,134,125,
fracas-translated,grok-4-20,T0,c2,342,0.5233918128654971,0.3304093567251462,0.3508771929824561,0.6703910614525139,2.1842105263157894,179,113,120,
fracas-translated,grok-4-20,T0,c3,342,0.652046783625731,0.3888888888888889,0.5526315789473685,0.8475336322869955,2.0321637426900585,223,133,189,
fracas-translated,grok-4-20-reasoning,T0,c1,342,0.9941520467836257,0.5526315789473685,0.6900584795321637,0.6941176470588235,1.0526315789473684,340,189,236,
fracas-translated,grok-4-20-reasoning,T0,c2,342,0.9912280701754386,0.5087719298245614,0.6695906432748538,0.6755162241887905,1.0935672514619883,339,174,229,
fracas-translated,grok-4-20-reasoning,T0,c3,342,0.9941520467836257,0.6812865497076024,0.9912280701754386,0.9970588235294118,1.0526315789473684,340,233,339,
fracas-translated,llama-3.3-70b,T0,c1,342,0.5116959064327485,0.3157894736842105,0.2777777777777778,0.5428571428571428,2.073099415204678,175,108,95,
fracas-translated,llama-3.3-70b,T0,c2,342,0.42105263157894735,0.2982456140350877,0.25146198830409355,0.5972222222222222,2.1023391812865495,144,102,86,
fracas-translated,llama-3.3-70b,T0,c3,342,0.5877192982456141,0.30409356725146197,0.41812865497076024,0.7114427860696517,1.9678362573099415,201,104,143,
fracas-translated,llama-4-maverick,T0,c1,342,0.5175438596491229,0.2222222222222222,0.2134502923976608,0.4124293785310734,2.2865497076023393,177,76,73,
fracas-translated,llama-4-maverick,T0,c2,342,0.45321637426900585,0.1695906432748538,0.15204678362573099,0.33548387096774196,2.388888888888889,155,58,52,
fracas-translated,llama-4-maverick,T0,c3,342,0.6578947368421053,0.28654970760233917,0.30994152046783624,0.4711111111111111,2.046783625730994,225,98,106,
fracas-translated,mistral-large-3,T0,c1,342,0.43859649122807015,0.3391812865497076,0.3304093567251462,0.7533333333333333,2.4210526315789473,150,116,113,
fracas-translated,mistral-large-3,T0,c2,342,0.4064327485380117,0.3216374269005848,0.3128654970760234,0.7697841726618705,2.5116959064327484,139,110,107,
fracas-translated,mistral-large-3,T0,c3,342,0.5321637426900585,0.4093567251461988,0.49707602339181284,0.9340659340659341,2.260233918128655,182,140,170,
oyxoy,deepseek-r1,T0,c1,1049,0.778836987607245,0.444232602478551,0.34318398474737843,0.44063647490820074,2.1391801715919923,817,466,360,
oyxoy,deepseek-r1,T0,c2,1049,0.7988560533841754,0.48141086749285034,0.342230695900858,0.42840095465393796,2.1534795042897996,838,505,359,
oyxoy,deepseek-r1,T0,c3,1049,0.7540514775977121,0.4947569113441373,0.3956148713060057,0.5246523388116309,2.1649189704480456,791,519,415,
oyxoy,deepseek-v4-pro,T0,c1,1049,0.8846520495710201,0.16491897044804577,0.5071496663489037,0.5732758620689655,1.438512869399428,928,173,532,
oyxoy,deepseek-v4-pro,T0,c2,1049,0.8856053384175405,0.1744518589132507,0.5081029551954243,0.573735199138859,1.4261201143946616,929,183,533,
oyxoy,deepseek-v4-pro,T0,c3,1049,0.8589132507149666,0.31649189704480457,0.646329837940896,0.7524972253052165,1.5624404194470924,901,332,678,
oyxoy,gpt-4o,T0,c1,1049,0.8369876072449952,0.33555767397521447,0.5367016205910391,0.6412300683371298,1.6034318398474738,878,352,563,
oyxoy,gpt-4o,T0,c2,1049,0.7435653002859867,0.3517635843660629,0.5414680648236415,0.7282051282051282,1.8579599618684461,780,369,568,
oyxoy,gpt-4o,T0,c3,1049,0.7950428979980935,0.3517635843660629,0.7102001906577693,0.8932853717026379,1.7340324118207817,834,369,745,
oyxoy,gpt-5.4,T0,c1,1049,0.9008579599618685,0.5958055290753098,0.5929456625357483,0.6582010582010582,1.896091515729266,945,625,622,
oyxoy,gpt-5.4,T0,c2,1049,0.9151572926596759,0.5929456625357483,0.5767397521448999,0.6302083333333334,1.888465204957102,960,622,605,
oyxoy,gpt-5.4,T0,c3,1049,0.9313632030505243,0.5938989513822688,0.8017159199237369,0.8607983623336745,1.563393708293613,977,623,841,
oyxoy,grok-4-20,T0,c1,1049,0.49285033365109626,0.17159199237368922,0.3145853193517636,0.6382978723404256,2.30791229742612,517,180,330,
oyxoy,grok-4-20,T0,c2,1049,0.43660629170638704,0.1563393708293613,0.28503336510962823,0.6528384279475983,2.3517635843660627,458,164,299,
oyxoy,grok-4-20,T0,c3,1049,0.5052430886558628,0.2011439466158246,0.4251668255481411,0.8415094339622642,2.2497616777883698,530,211,446,
oyxoy,grok-4-20-reasoning,T0,c1,1049,0.998093422306959,0.38989513822688276,0.7426120114394662,0.7440305635148042,1.0686367969494757,1047,409,779,
oyxoy,grok-4-20-reasoning,T0,c2,1049,0.9952335557673975,0.3593898951382269,0.7121067683508103,0.7155172413793104,1.088655862726406,1044,377,747,
oyxoy,grok-4-20-reasoning,T0,c3,1049,0.9933269780743565,0.5700667302192565,0.9866539561487131,0.9932821497120922,1.0791229742612012,1042,598,1035,
oyxoy,llama-3.3-70b,T0,c1,1049,0.4833174451858913,0.2430886558627264,0.2402287893231649,0.4970414201183432,2.1830314585319353,507,255,252,
oyxoy,llama-3.3-70b,T0,c2,1049,0.42897998093422307,0.2430886558627264,0.22878932316491898,0.5333333333333333,2.2793136320305054,450,255,240,
oyxoy,llama-3.3-70b,T0,c3,1049,0.5214489990467112,0.22402287893231648,0.3984747378455672,0.7641681901279708,2.1163012392755003,547,235,418,
oyxoy,llama-4-maverick,T0,c1,1049,0.38703527168732127,0.16587225929456625,0.18875119161105816,0.4876847290640394,2.5271687321258343,406,174,198,
oyxoy,llama-4-maverick,T0,c2,1049,0.3622497616777884,0.1344137273593899,0.16396568160152525,0.45263157894736844,2.511916110581506,380,141,172,
